# Goxel 0.10.8
# One line per voxel
# X Y Z RRGGBB
-9 -7 0 ffffff
-8 -7 0 ffffff
-7 -7 0 ffffff
-6 -7 0 ffffff
-5 -7 0 ffffff
-4 -7 0 ffffff
-3 -7 0 ffffff
-2 -7 0 ffffff
-1 -7 0 ffffff
-9 -6 0 ffffff
-8 -6 0 ffffff
-7 -6 0 ffffff
-6 -6 0 ffffff
-5 -6 0 ffffff
-4 -6 0 ffffff
-3 -6 0 ffffff
-2 -6 0 ffffff
-1 -6 0 ffffff
-9 -5 0 ffffff
-8 -5 0 ffffff
-7 -5 0 ffffff
-6 -5 0 ffffff
-5 -5 0 ffffff
-4 -5 0 ffffff
-3 -5 0 ffffff
-2 -5 0 ffffff
-1 -5 0 ffffff
-9 -4 0 ffffff
-8 -4 0 ffffff
-7 -4 0 ffffff
-6 -4 0 ffffff
-5 -4 0 ffffff
-4 -4 0 ffffff
-3 -4 0 ffffff
-2 -4 0 ffffff
-1 -4 0 ffffff
-9 -3 0 ffffff
-8 -3 0 ffffff
-7 -3 0 ffffff
-6 -3 0 ffffff
-5 -3 0 ffffff
-4 -3 0 ffffff
-3 -3 0 ffffff
-2 -3 0 ffffff
-1 -3 0 ffffff
-9 -2 0 ffffff
-8 -2 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-2 -2 0 ffffff
-1 -2 0 ffffff
-9 -1 0 ffffff
-8 -1 0 ffffff
-7 -1 0 ffffff
-6 -1 0 ffffff
-5 -1 0 ffffff
-4 -1 0 ffffff
-3 -1 0 ffffff
-2 -1 0 ffffff
-1 -1 0 ffffff
-9 -7 1 ffffff
-8 -7 1 ffffff
-7 -7 1 ffffff
-6 -7 1 ff0000
-5 -7 1 ffffff
-4 -7 1 ffffff
-3 -7 1 ffffff
-2 -7 1 ff0000
-1 -7 1 ffffff
-9 -6 1 ffffff
-9 -5 1 ffffff
-9 -4 1 ff0000
-9 -3 1 ffffff
-9 -2 1 ffffff
-9 -1 1 ffffff
-9 -7 2 ffffff
-8 -7 2 ffffff
-7 -7 2 ffffff
-6 -7 2 ff0000
-5 -7 2 ffffff
-4 -7 2 ffffff
-3 -7 2 ffffff
-2 -7 2 ff0000
-1 -7 2 ffffff
-9 -6 2 ffffff
-9 -5 2 ffffff
-9 -4 2 ff0000
-9 -3 2 ffffff
-9 -2 2 ffffff
-9 -1 2 ffffff
-9 -7 3 ffffff
-8 -7 3 ffffff
-7 -7 3 ffffff
-6 -7 3 ffffff
-5 -7 3 ffffff
